What did Voithos notice,What does Voithos can do,Voithos Language,What does the patient approve,What is language of the document,What happens after approval,Where can the patient find it later
,,,,,,
Appointment and Scheduling actions,"Recommend providers in network with good ratings and close to zip code. Rating has higher weight than zip. Best match is high rating with same zip, next is high rating with zip in close proximity, then medium rating with same zip, medium rating with zip in close proximity, low rating",N/A,,,,
,"Suggest getting an earlier appointment based on care complexity algorithm-> if scheduling API is linked, ask user if they would like to schedule the appointment now-> if yes, take user to scheduler-> if no API go to column C.","Plain english, make as a suggestion and give reason why but don't alarm user",,,,
,Detect overdo follow ups based on open items in status rules algorithm,"Plain english, make as a suggestion and give reason why but don't alarm user",,,,
,Send reminders for open itmes in status rules algortihm after 1 week of no resolution,State to user what is open and needs addressing,,,,
,"Coordinate multi-specialty visits-> If scheduling API is linked take user to schedule visit-> ask user if they would like to schedule appointments now -> if yes, take to scheduler. If no API exists-> go to column C",State to user which appointment should be made first and what the determination is based on. Get determination based on clinical docs and patient/provider ambent recording.,,,,
,"Add appointments to user's calendar -> if able to schedule appointment, add to users preferred calendar. -> if no API and/or no appointment has been created, no action is taken.",tell user the appointment has been added to calendar.,,,,
,Detect referral-required appointments,Tell user that appointment mentioned by provider requires a referral,,,,
Insurance and PA actions,"Identify if a prior authorization is likely. This should be based on information retrieved from the insurance API for procedures or medications needing prior authorizations. -> if able to retrieve the medical necessity information from the insurance API, complete the medical necessity form with the information pulled through NLP from the clinical documentation and place a visit date tag at end of each answered question as to where the information came from. (Go to Column E) if unable to retrieve the medical necessity questionnaire, go to Column C","Tell the user in plain english language that a prior authorization is likely needed for that procedure or medication and to follow up with the provider clinic. If medical necessity form is available, Track process in ""what happened recently"" in financial section with a summary.",The user needs to approve the medical necessity doc if one is surfaced with the answers given.,The language of the document should come direclty from the clinical documentation.,"after the approval, the document is sent back to the insurance company via the API connection",the document is stored in settings with date and time stamp.
,"Identify denial claim risks.-> system shall use the claim denial risk identification algorith=m (appendix A) to evaluate planned services, submitted claims, and payer related tasks for likelihood of denial",tell the user the risk for denial based on appendix A and the actions they should take with the insurance carrier.,,,,
,Track prior authorization status if medical necessity questionnaire has been sent. Otherwise do nothing.,"display prior authorization status under section ""what happened recently"" in the financial section if applicable.",,,,
,Identify out of network risks -> use insurance benefit information to detect is patient is at risk for going out of network for a provider or medication,Tell user in plain english that they are at risk for being out of network and why and where that information came from.,,,,
,Detect denied claims -> use insurance API to detect if a claim has been denied,Tell user that the claim has been denied and why.,,,,
,Detect high cost medications,Tell user that the medication they have been prescribed is a high cost medication and recommend generic alternatives.,,,,
Care Coordination Actions,"Detect missing records -> records should come from the EHR patient portal API, lab APIs, insurance APIs, pharmacy API.",Tell user there are missing records if applicable and what they are,,,,
,"identify health gaps -> the system shall identify missing, overdue or upcioming preventive screenings and health gaps based on patient age, sex, conditions, medications, historyry, and guideline based recommendations. (Appendix B)","The system shall identify basic preventive and chronic health gaps ising rule based logic and patient reported data. The system shall label gaps as due now, overdue, upcoming and shall convert high priority gaps to open actions under next best actions for patient or care advocate to follow up.",,,,
,summarize fragmented information,give good summary of information in plain english language for user,,,,
,"Generate visit prep actions -> prior to visit, the system shall generate questions for provider that is specific to that provider's specialty and the users need based on clinical history data. Prior to visit the system shall also generate an estimated copay, deductible status, out of network risk and place in ""benefits"" section of the app. The system should also ask the patient if they would like to share the previsit summary with their designated caregiver if there is one and supply a ""send"" button. The system will then send a secure link via email to the caregiver so they can open the document securely.","The system shall generate a document and notify user of the document within ""next best actions"" 3 days prior to provider visit. It should tell user that the documents is kept in settings but should also give user access to document under ""get Help"" button. The system shall tell the user of the generated financials and to click"" get help"" which will take them directly to the benefits module where the information will be viewable by the user (using the prototype as the UI)",no approval needed,"Document can be generated prior to the visit and stored in document section of the app in settings and should consist of questions to ask the provider during the visit, explain appointment purpose, summarize likely discussion topics and explain terminology in plain english language.",N/A,document section of settings
,"Generate post visit summary -> the sytsem shall generate a user friendly and provier-supportive summary after a healthcare visit using structured and unstructured visit data. The summary should reduce confusion, improve adherence, clarify next steps, idenfity unresolved actions, coordinate follow up care. AI should use provider notes, diagnoses, med changes, orders, labs, imaging, referrals, follow up instructions, and voice transcripts as inputs. The system shall also ask the user if they would like to share the post visit summary with their designated caregiver if there is one and supply a send button. The system will then send a secure link via email to the caregiver so they can open the document securely.","The system shall generate a document and notify user of the document within ""next best actions"" immediately following the provider visit. It should tell user that the documents is kept in settings but should also give user access to document under ""get Help"" button. The system shall put any unresolved actions identified or next steps in ""next best actions"" and summary of actions taken in ""what happened recently"".",no approval needed,"document generated after the visit and stored in document section of the app in settings and should be in plain english language. It should contain provider seen, specialty, date/time. Main reason for visit and key findings.",n/a,document section of settings
,"Detect conflicting instructions -> user NLP to read clinical context, instructions and patient/provider recording to determine if conflicting instructions.",The system shall generate a statement to the user that there are conflciting instructions and give context and recommedn follow up with their provider.,,,,
Patient Communication Actions,Send reminders,,,,,
,Answer workflow qustions,,,,,
,Explain next steps,,,,,
,Provide status updates,,,,,
,escalate urgent issues,,,,,
,detect confusion or overwhelm,,,,,
,send provider messages,,,,,
,send educational content,,,,,
Caregiver coordination actions,notify caregiver,,,,,
,assign caregiver tasks,,,,,
,detect caregiver overload,,,,,
,share care updates,,,,,
Clinical workflow actions,detect overdue screenings,,,,,
,indentify preventive health gaps,,,,,
,detect abnormal lab trends,,,,,
